year,month,2m露点温度（K）,蒸发（m）,辐照(W/m2),晴空辐照(W/m2),海平面气压（Pa）,总径流（m）,降雪（m）,10m风速,地表气压（Pa）,地表径流（m）,2m气温（℃）,总云覆盖率,降水（m）,100m风速,风力发电量（亿千瓦时）
2013,1,272.5095,-0.93817775,120.2765,160.69525,102572.75,0.4680475,0.112842425,1.98938,98691.325,0.042951053,4.07423525,0.50808175,0.000815697,1.3964675,1.8
2013,2,276.6025,-1.06650875,105.224275,190.04525,102286.5,0.5254006,0.27001675,2.2512125,98438.7,0.13932235,6.8431875,0.750685,0.00223964,1.768095,1.8
2013,3,279.73875,-2.092565,173.07225,243.06,101703,1.07195495,0.006699285,2.57105,97951.625,0.372045818,13.211075,0.5948825,0.003443244,0.98984475,0.8
2013,4,282.85925,-2.684535,194.06125,282.9825,101326.25,1.81012895,0.01727985,2.5520775,97613.2,0.488547225,16.658125,0.636474,0.004620283,0.75275925,0.8
2013,5,289.97375,-3.1358125,192.6,302.41775,100827,2.60438925,1.73E-15,2.2204025,97169.025,0.81196775,22.3653,0.71581575,0.00616493,0.870621,0.8
2013,6,293.70475,-3.774495,220.54925,309.74475,100477.5,2.465292175,1.73E-15,2.334065,96851.875,0.901359075,26.052125,0.6368195,0.00577319,1.7646825,0.7
2013,7,295.8865,-4.2395025,240,301.05025,100294.25,1.2616425,1.73E-15,2.895815,96690.7,0.47129165,29.2212,0.68175725,0.003730073,3.756055,0.9
2013,8,295.0405,-3.6379025,222.8555,279.78425,100448,0.77526325,1.73E-15,2.574635,96838.025,0.422188,28.931875,0.5508565,0.00419105,1.270755,0.8
2013,9,290.76325,-2.6985,170.2015,247.136,101277.25,0.66135605,1.73E-15,2.15595,97605.025,0.380557,22.910375,0.5813335,0.00354804,2.143355,0.7
2013,10,283.92975,-2.03073,173.37275,210.76125,101927,0.2273611,7.5E-07,2.2620375,98207.575,0.03822385,18.231425,0.42374725,0.000814041,2.3963,0.8
2013,11,279.36425,-1.4341925,121.22675,163.1675,102264.75,0.25825195,0.00625955,2.1355225,98483.45,0.1177724,11.987045,0.43129375,0.002198848,1.8615425,0.8
2013,12,271.42875,-1.05296375,126.34675,148.60625,102565.5,0.201369405,0.028820425,2.1001625,98703.35,0.074813402,5.65385,0.3516335,0.001145474,1.929895,1.4
2014,1,272.19325,-0.9867945,136.44925,162.96025,102450.75,0.121511275,0.034690156,2.1868225,98608.775,0.020798755,6.6086175,0.3689895,0.000578261,1.0565035,1.7
2014,2,274.47325,-0.88751325,103.418475,191.73925,102368.75,0.211360375,0.68206025,2.4133125,98481.825,0.120155875,4.83003,0.7559485,0.00299342,2.5944575,1.8
2014,3,280.4315,-1.8057775,153.7375,238.888,101887.5,0.6648871,0.018339665,2.312745,98115.325,0.38227585,12.65945,0.666734,0.00370096,1.0783885,1.9
2014,4,285.99025,-2.4209825,165.4285,274.423,101470.25,1.281303425,4.975E-06,2.2036125,97760.1,0.557789575,17.42875,0.70645425,0.004912143,1.420215,1.7
2014,5,289.03625,-3.17075,193.48225,303.323,100929.25,3.078808725,-3.47E-15,2.2579375,97264.025,0.98978675,21.6335,0.7536155,0.007031833,1.17628425,1.8
2014,6,293.413,-3.2683975,194.897,306.66075,100471,2.970196175,-3.47E-15,1.871795,96841.475,0.8296645,25.0934,0.75684425,0.006108163,1.324595,1.7
2014,7,295.8335,-3.9340225,221.42175,299.82025,100462.25,3.64181575,-3.47E-15,1.9604475,96846.425,0.92966475,27.517675,0.60076325,0.006012393,1.20392525,1.9
2014,8,294.7675,-3.21752,179.4485,271.8565,100744.75,1.8552475,-3.47E-15,1.75344,97106.875,0.78272975,25.537,0.76035675,0.006148723,1.1327325,1.8
2014,9,292.7185,-2.7522975,156.11325,238.88,101143,1.189693,-3.47E-15,2.134355,97478.725,0.4798075,23.2426,0.67721775,0.004217593,1.83047,2.2
2014,10,286.40675,-2.1355775,165.61825,207.301,101823.25,0.656403,-3.47E-15,2.1770875,98111.825,0.1932824,18.97565,0.4199905,0.002153158,1.7781655,1.9
2014,11,280.73175,-1.3093825,96.5525,158.904,102213.25,0.554578125,0.001178722,2.111945,98426.525,0.1768255,12.0171025,0.65521475,0.00261964,1.9533375,2.2
2014,12,270.7465,-1.1569495,122.0125,148.5015,102815.25,0.424990575,0.024577588,2.28908,98937.4,0.026184915,5.744345,0.38087675,0.000412018,2.0718325,2.9
2015,1,273.574,-0.9545635,109.347375,157.891,102604.5,0.304617725,0.239965553,2.1775325,98741,0.038870395,6.132185,0.562192,0.001103401,3.494055,2.3
2015,2,275.45725,-1.19890925,124.85975,192.74425,102255,0.437678225,0.043578089,2.21205,98418.45,0.18484421,7.622625,0.6088945,0.002713147,3.5554925,2.7
2015,3,280.577,-1.64829,138.78525,235.856,101980.5,0.832634675,0.02813444,2.2295675,98198.525,0.30558115,11.9111,0.730841,0.0034408,3.63616,2.2
2015,4,284.567,-2.83908,190.3195,280.4665,101492.75,2.10680975,0.008485346,2.49111,97772.75,0.563419525,16.845575,0.68907025,0.004473498,4.018575,3.1
2015,5,290.7745,-3.087115,185.36075,298.45525,100829,3.013064925,0.000131489,2.1912325,97168.775,1.046093775,22.0448,0.72484825,0.007284068,3.5880125,2.6
2015,6,293.87425,-3.3311125,183.924,302.581,100504.75,5.153158,0,2.32829,96873.175,1.4164075,25.12985,0.8443575,0.008963333,3.838105,3
2015,7,295.142,-3.9142875,205.6255,298.4685,100472.75,2.56521925,0,2.1959425,96847.625,0.8616435,26.156675,0.66163825,0.00556541,3.585005,2.9
2015,8,294.92625,-3.77633,209.71075,277.4225,100681,1.1830725,0,1.9960575,97049.35,0.41659625,26.28485,0.580446,0.004223248,3.181205,3.2
